Video,view,IC (Frame at which any part of the foot touches the ground),LR (last frame at which opposite side is on the ground) ,Mid stance,TS (Frame at which any part of the opposite foot touches the ground),PS (last frame at which foot is on the ground),Predicted IC,fps,calculated,predicted,calc norm,pred norm
1,Left,50,63,79,87,95,56,50,29,23,0.58,0.46
,,120,129,140,154,162,127,50,20,13,0.4,0.26
,,186,196,212,220,230,191,50,26,21,0.52,0.42
,Right,79,88,106,113,124,83,50,27,23,0.54,0.46
,,147,157,175,180,191,153,50,28,22,0.56,0.44
,,214,224,241,247,258,219,50,27,22,0.54,0.44
2,Left,,,,,,,,0,0,,
,,90,100,113,121,130,95,60,23,18,0.383333333,0.3
,,152,161,174,182,192,157,60,22,17,0.366666667,0.283333333
,Right,88,96,110,119,128,94,60,22,16,0.366666667,0.266666667
,,150,159,171,182,189,155,60,21,16,0.35,0.266666667
3,Left,37,78,,90,106,43,50,,,0,0
,,127,164,,174,190,141,50,,,0,0
,,212,246,,258,272,215,50,,,0,0
,,296,331,,345,367,305,50,,,0,0
,,390,423,,435,452,400,50,,,0,0
,,472,507,,519,536,485,50,,,0,0
,Right,16,37,,58,98,27,50,,,0,0
,,109,130,,150,189,115,50,,,0,0
,,200,222,,245,284,207,50,,,0,0
,,295,319,,339,385,302,50,,,0,0
,,399,426,,442,482,404,50,,,0,0
,,496,518,,539,579,508,50,,,0,0
,,591,612,,631,670,603,50,,,0,0
4,Left,48,60,70,85,95,52,60,22,18,0.366666667,0.3
,,120,130,142,155,165,125,60,22,17,0.366666667,0.283333333
,,190,199,211,225,235,200,60,21,11,0.35,0.183333333
,Right,65,74,93,99,110,70,60,28,23,0.466666667,0.383333333
,,135,146,164,172,183,141,60,29,23,0.483333333,0.383333333
,,207,219,236,243,255,214,60,29,22,0.483333333,0.366666667
5,Left,57,68,87,95,105,64,60,30,23,0.5,0.383333333
,,132,142,158,170,179,138,60,26,20,0.433333333,0.333333333
,Right,31,40,54,65,74,37,60,23,17,0.383333333,0.283333333
,,99,108,118,133,142,105,60,19,13,0.316666667,0.216666667
6,Left,,,,,,,50,0,0,,
,,73,79,92,100,106,90,50,19,2,0.38,0.04
,,127,133,144,154,160,132,50,17,12,0.34,0.24
,Right,47,53,64,73,80,51,50,17,13,0.34,0.26
,,101,107,117,127,134,106,50,16,11,0.32,0.22
,,153,160,169,180,188,159,50,16,10,0.32,0.2
7,Left,46,54,69,79,87,52,60,23,17,0.383333333,0.283333333
,,112,120,136,145,154,118,60,24,18,0.4,0.3
,Right,53,60,75,84,93,57,60,22,18,0.366666667,0.3
8,Left,37,47,59,67,76,42,50,22,17,0.44,0.34
,,92,102,110,120,129,98,50,18,12,0.36,0.24
,,147,158,164,179,188,152,50,17,12,0.34,0.24
,Right,72,81,84,96,105,82,50,12,2,0.24,0.04
,,126,134,147,151,160,129,50,21,18,0.42,0.36
,,178,187,199,203,213,,50,21,199,0.42,3.98
9,Left,62,105,121,124,167,64,60,59,57,0.983333333,0.95
,,196,251,264,268,302,198,60,68,66,1.133333333,1.1
,,330,381,392,396,427,343,60,62,49,1.033333333,0.816666667
,,455,519,534,536,573,468,60,79,66,1.316666667,1.1
,,603,686,696,702,734,603,60,93,93,1.55,1.55
,,764,854,862,870,899,764,60,98,98,1.633333333,1.633333333
,Right,82,111,138,142,200,85,60,56,53,0.933333333,0.883333333
,,216,246,273,277,347,222,60,57,51,0.95,0.85
,,365,458,485,486,557,369,60,120,116,2,1.933333333
,,574,611,636,639,720,579,60,62,57,1.033333333,0.95
,,738,779,804,812,881,741,60,66,63,1.1,1.05
,,901,957,981,989,1083,1103,60,80,-122,1.333333333,-2.033333333
10,Right,31,41,54,62,72,40,60,23,14,0.383333333,0.233333333
,,94,103,114,125,134,99,50,20,15,0.4,0.3
